1,1,1,268,134,91,1,-1,-1,-1
1,2,255,168,64,32,1,-1,-1,-1
1,0,280,228,158,128,1,-1,-1,-1
2,1,13,260,140,91,1,-1,-1,-1
2,2,248,168,65,33,1,-1,-1,-1
2,0,280,228,158,128,1,-1,-1,-1
3,1,25,253,146,91,1,-1,-1,-1
3,2,240,169,68,34,1,-1,-1,-1
3,0,280,228,158,128,1,-1,-1,-1
4,1,38,246,151,92,1,-1,-1,-1
4,2,233,169,70,35,1,-1,-1,-1
4,0,280,228,158,128,1,-1,-1,-1
5,1,50,240,158,91,1,-1,-1,-1
5,2,225,170,73,35,1,-1,-1,-1
5,0,280,228,158,128,1,-1,-1,-1
6,1,61,232,165,91,1,-1,-1,-1
6,2,218,170,75,36,1,-1,-1,-1
6,0,280,228,158,128,1,-1,-1,-1
7,1,74,225,170,91,1,-1,-1,-1
7,2,210,171,78,36,1,-1,-1,-1
7,0,280,228,158,128,1,-1,-1,-1
8,1,86,218,177,91,1,-1,-1,-1
8,2,203,171,80,37,1,-1,-1,-1
8,0,280,228,158,128,1,-1,-1,-1
9,1,99,212,182,91,1,-1,-1,-1
9,2,195,172,83,37,1,-1,-1,-1
9,0,280,228,158,128,1,-1,-1,-1
10,1,118,208,172,87,1,-1,-1,-1
10,2,188,173,85,39,1,-1,-1,-1
10,0,280,228,158,128,1,-1,-1,-1
11,1,136,206,164,82,1,-1,-1,-1
11,2,176,173,88,41,1,-1,-1,-1
11,0,280,228,158,128,1,-1,-1,-1
12,1,156,204,154,76,1,-1,-1,-1
12,2,165,173,90,44,1,-1,-1,-1
12,0,280,228,158,128,1,-1,-1,-1
13,1,175,201,144,72,1,-1,-1,-1
13,2,154,173,92,48,1,-1,-1,-1
13,0,280,228,158,128,1,-1,-1,-1
14,1,194,199,135,67,1,-1,-1,-1
14,2,144,173,95,51,1,-1,-1,-1
14,0,280,228,158,128,1,-1,-1,-1
15,1,214,197,125,62,1,-1,-1,-1
15,2,129,174,99,53,1,-1,-1,-1
15,0,280,228,158,128,1,-1,-1,-1
16,1,225,195,119,59,1,-1,-1,-1
16,2,114,177,102,55,1,-1,-1,-1
16,0,280,228,158,128,1,-1,-1,-1
17,1,236,192,113,58,1,-1,-1,-1
17,2,100,179,106,57,1,-1,-1,-1
17,0,280,228,158,128,1,-1,-1,-1
18,1,248,190,107,56,1,-1,-1,-1
18,2,85,180,110,60,1,-1,-1,-1
18,0,280,228,158,128,1,-1,-1,-1
19,1,260,189,100,53,1,-1,-1,-1
19,2,71,182,114,62,1,-1,-1,-1
19,0,280,228,158,128,1,-1,-1,-1
20,1,271,187,95,52,1,-1,-1,-1
20,2,56,185,119,64,1,-1,-1,-1
20,0,280,228,158,128,1,-1,-1,-1
21,1,283,185,88,49,1,-1,-1,-1
21,2,43,187,121,65,1,-1,-1,-1
21,0,280,228,158,128,1,-1,-1,-1
22,1,295,183,83,48,1,-1,-1,-1
22,2,28,189,126,68,1,-1,-1,-1
22,0,280,228,158,128,1,-1,-1,-1
23,1,300,182,80,45,1,-1,-1,-1
23,2,14,191,130,70,1,-1,-1,-1
23,0,280,228,158,128,1,-1,-1,-1
24,1,305,181,79,44,1,-1,-1,-1
24,2,11,195,114,68,1,-1,-1,-1
24,0,280,228,158,128,1,-1,-1,-1
25,1,311,180,75,43,1,-1,-1,-1
25,2,9,198,97,69,1,-1,-1,-1
25,0,280,228,158,128,1,-1,-1,-1
26,1,316,179,74,42,1,-1,-1,-1
26,2,6,203,82,67,1,-1,-1,-1
26,0,280,228,158,128,1,-1,-1,-1
27,1,323,178,71,40,1,-1,-1,-1
27,2,4,206,65,67,1,-1,-1,-1
27,0,280,228,158,128,1,-1,-1,-1
28,1,328,177,68,38,1,-1,-1,-1
28,2,1,209,49,68,1,-1,-1,-1
28,0,280,228,158,128,1,-1,-1,-1
29,1,333,176,67,37,1,-1,-1,-1
29,0,280,228,158,128,1,-1,-1,-1
30,1,339,174,64,36,1,-1,-1,-1
30,0,280,228,158,128,1,-1,-1,-1
31,1,344,173,62,35,1,-1,-1,-1
31,0,280,228,158,128,1,-1,-1,-1
32,1,350,173,60,33,1,-1,-1,-1
32,0,280,228,158,128,1,-1,-1,-1
33,1,353,172,57,33,1,-1,-1,-1
33,0,280,228,158,128,1,-1,-1,-1
34,1,355,172,56,32,1,-1,-1,-1
34,0,280,228,158,128,1,-1,-1,-1
35,1,358,171,55,32,1,-1,-1,-1
35,3,0,250,133,107,1,-1,-1,-1
35,0,280,228,158,128,1,-1,-1,-1
36,1,360,171,54,30,1,-1,-1,-1
36,3,10,243,143,106,1,-1,-1,-1
36,0,280,228,158,128,1,-1,-1,-1
37,1,363,170,52,30,1,-1,-1,-1
37,3,20,236,153,105,1,-1,-1,-1
37,0,280,228,158,128,1,-1,-1,-1
38,1,365,170,51,29,1,-1,-1,-1
38,3,30,230,163,104,1,-1,-1,-1
38,0,280,228,158,128,1,-1,-1,-1
39,1,369,169,49,29,1,-1,-1,-1
39,3,40,223,173,103,1,-1,-1,-1
